work_year,experience_level,employment_type,job_title,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2023,153040.26912006704,138371.01083010482,204639.17114205757,62500.992462776914,85847,61485.25357288689,100,58494.006705195825,118414.91000100973
2023,104750.58223445556,124203.35465209276,161518.5456505716,149451.33201950244,30000,152805.94258346563,100,151835.91371227932,78953.77359190701
2023,104665.17007177953,124659.29181769723,161650.1228613546,149404.1226113712,25500,152842.51835960482,100,151861.14577672209,79297.00183896539
2023,153058.50612597182,138318.266439277,140825.20326865217,149372.08084434236,175000,131782.60263459157,100,131487.7393001713,143013.8371298236
2023,153058.62797011755,138357.686905421,140879.87989599275,149380.0717497887,120000,132429.59292737622,100,132120.12803635508,143123.03399486
2023,153035.9795976973,138289.0040490784,188805.75309112974,149341.0679216992,222200,152834.01591554267,0,151828.20975084943,117844.30155631492
2023,153032.4448415453,138332.6465841859,190292.55312146645,149338.15065674885,136000,152819.51989406178,0,151809.47706632857,118304.44178762316
2023,153018.72049732154,138293.41857302946,140772.79860830764,149342.93981104315,219000,131264.9865384917,0,130981.71317672721,143037.6637389288
2023,153046.9637309176,138283.05059309443,140807.6290449834,149328.1619617065,141000,132182.40849028496,0,131877.90276003027,143120.15117941034
2023,153088.28403304514,138344.910687325,140793.87791924537,149402.22548216677,147100,152803.140986862,0,151870.07141838237,143141.21284232166
2023,153064.96932847067,138350.43921330266,140925.57174903544,149337.04511714188,90700,152860.05061365364,0,151828.46709589314,143157.57191865175
2023,153068.142238552,138314.66063301917,108822.79890171364,149311.21395432914,130000,152795.92668390807,100,151788.25333503343,143086.92849011553
2023,153052.96153624775,138336.41609490945,108777.66321012237,149280.99789107256,100000,152860.30350631368,100,151817.24205982784,143124.9120876649
2023,78308.39947264062,138267.26872869793,188952.37699372123,149361.1310150471,213660,152777.50269744796,0,151807.0437879282,118133.32577162958
2023,78641.44691196246,138285.0538187932,190381.34949760523,149367.37297672706,130760,152815.2175144498,0,151831.0155114815,118315.95588606622
2023,153068.01613136524,138278.28916254904,114142.29872034125,149354.50397712426,147100,152815.947486089,0,151801.63736727482,143160.38553544294
2023,153062.59291841593,138293.632148197,142354.82489339018,149346.39874330108,90700,152826.11945373937,0,151857.1078052109,143156.6688487726
2023,153029.37295346486,138276.60957627092,140861.91808421494,149339.88979681974,170000,152779.02259604036,0,151816.4674443675,143142.07257755604
2023,153066.4643294273,138345.02242639288,140854.94681249367,149337.610309692,150000,152810.6871500489,0,151850.03994545934,143147.90460812568
